release_version,schema_version,release_source_id,internal_source_id,release_source_document_id,internal_source_document_id,source_type,source_name,version_tag,external_id,doc_date,url,content_hash,retrieved_at_utc,created_at_utc
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:dc9645d4b418599307676276,2644,resolution,H.Res. Congress XML,congress_113,BILLS-113hres454eh.xml,2014-01-08,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:040c0d8cb0923b024bdb0086,2645,resolution,H.Res. Congress XML,congress_113,BILLS-113hres460eh.xml,2014-01-16,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:f30588e8661ab55f848036e3,2647,resolution,H.Res. Congress XML,congress_113,BILLS-113hres523eh.xml,2014-03-25,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:36ee6053f9beac5c55f79422,2648,resolution,H.Res. Congress XML,congress_113,BILLS-113hres52eh.xml,2013-02-05,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:64be1f5edf106cd7203c438e,2650,resolution,H.Res. Congress XML,congress_113,BILLS-113hres531eh.xml,2014-04-01,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:ed7ff829704b972062bc4cf2,2651,resolution,H.Res. Congress XML,congress_113,BILLS-113hres537eh.xml,2014-04-03,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:bee8cda6910174c2cdd0d935,2653,resolution,H.Res. Congress XML,congress_113,BILLS-113hres53eh.xml,2013-02-05,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:345f9334a1b65fbcc55ae5b6,2654,resolution,H.Res. Congress XML,congress_113,BILLS-113hres546eh.xml,2014-04-08,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:82402ff87d660865d311183e,2656,resolution,H.Res. Congress XML,congress_113,BILLS-113hres589eh.xml,2014-05-20,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:17ea3a8d3425c6ab7bea0ae9,2659,resolution,H.Res. Congress XML,congress_113,BILLS-113hres603eh.xml,2014-05-29,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:e8692713a863b8501896d7f8,2661,resolution,H.Res. Congress XML,congress_113,BILLS-113hres64eh.xml,2013-02-13,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:88f488894fb2bf9a7e99dadd,2663,resolution,H.Res. Congress XML,congress_113,BILLS-113hres660eh.xml,2014-07-09,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:747f8462c84bbcb66b9f4085,2665,resolution,H.Res. Congress XML,congress_113,BILLS-113hres6eh.xml,2013-01-03,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:b705160c79279105f4e4d9dc,2666,resolution,H.Res. Congress XML,congress_113,BILLS-113hres7eh.xml,2013-01-03,,,,
v0.1.0,1.1.0,release-source:241e8f01e750d93e093bc425,2,release-source-document:dadafaf67c564822ebfe0232,2668,resolution,H.Res. Congress XML,congress_113,BILLS-113hres82eh.xml,2013-02-26,,,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:af680a217990b3601e4cdb83,2889,CR,Congressional Record JSON,crec_json,CREC-2013-02-26-pt1-PgH649-2.json,2013-02-26,,90dd09956c165632b32d909ab1720ac7070d0d0c14fe2dff6ce88cfc96aefa20,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:ca250b558b7bbeddeca05d5e,2890,CR,Congressional Record JSON,crec_json,CREC-2013-02-26-pt1-PgH649-3.json,2013-02-26,,aa88e74895ffe513702fabfc5f7c5f9097035442a6b9b8ed90dc1afcaed5e86c,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:8d03c11c75bc64f4462e159b,2891,CR,Congressional Record JSON,crec_json,CREC-2013-02-26-pt1-PgH649.json,2013-02-26,,b880d46bf81d9ee2a6efc981ab39316c00e7d5feeeafbc9267fafedc5af6751f,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:16d610714e544bcf3166ba4d,7425,CR,Congressional Record JSON,crec_json,CREC-2013-04-16-pt1-PgH2033-7.json,2013-04-16,,8986136b7c6d40aff712d3ad00c2a9390176d5fed093cee6054e1f338b2cd209,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:16d39786ba7d37db7ad0e6a7,12276,CR,Congressional Record JSON,crec_json,CREC-2013-06-04-pt1-PgS3952-3.json,2013-06-04,,5a37b19803001963e5b2ca0c9c49dd434b06fdb87cfeb28c74afdd4427b5c51d,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:16135e630ea9dc278beeddf6,17137,CR,Congressional Record JSON,crec_json,CREC-2013-07-24-pt1-PgH4988-7.json,2013-07-24,,3a5a57777f38e3e72ef47319f813788c88de6d3a65802da9ca0321a9957ac0ca,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:d475257290c7c307e60ab60f,18765,CR,Congressional Record JSON,crec_json,CREC-2013-09-06-pt1-PgH5407-9.json,2013-09-06,,d73a4df0e9a262be2023579880ddca4772ebdd4894d7dbfeea7a900d69a8f267,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:76de8bb14bc4edde000d7017,18891,CR,Congressional Record JSON,crec_json,CREC-2013-09-09-pt1-PgH5432-2.json,2013-09-09,,2b67b1b4ccab198d8c15b993eaffcdf77b6c583db2ede7464a8428bf6a40088d,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:bd20e54782115c48cd333f1f,22682,CR,Congressional Record JSON,crec_json,CREC-2013-10-15-pt1-PgH6603-6.json,2013-10-15,,68ab660a25474a58aee639a973b298fa2afb480db954c1988b551168f75e987e,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:6fc4b010c7703617ca5ac894,22949,CR,Congressional Record JSON,crec_json,CREC-2013-10-22-pt1-PgH6660-2.json,2013-10-22,,99202ffff440bb3d6300aead4d9911712d44dc6f034040796bd453a054abef2d,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:d413d5875149196f9e85bdf3,23469,CR,Congressional Record JSON,crec_json,CREC-2013-10-29-pt1-PgH6872.json,2013-10-29,,03402150274d9d8e7a5c4d737d4158aa1f203253f8ccf506c9c4f7779829896c,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:48dcdd413bead6e6bef726b7,23869,CR,Congressional Record JSON,crec_json,CREC-2013-10-31-pt1-PgS7706.json,2013-10-31,,4e2aed36b30d5f42072fd6e5196189da4415ab144f544e8877605de8c7a592f3,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:5f1fb499cf6ff765173c16b8,26983,CR,Congressional Record JSON,crec_json,CREC-2013-12-11-pt1-PgH7638-3.json,2013-12-11,,8d2272f82ac3d242347cd78118c4365d370e6d92e0bb4c9d2963214175575429,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:43fb9fd01c39b25461978f09,26984,CR,Congressional Record JSON,crec_json,CREC-2013-12-11-pt1-PgH7638-4.json,2013-12-11,,1a02030677de8dd0e1d21eddb5e4e8a6f5baea5bc891ecd8dfa389ef93643fbf,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:fd8afd47469ee1e5f7733b8c,26985,CR,Congressional Record JSON,crec_json,CREC-2013-12-11-pt1-PgH7638-5.json,2013-12-11,,83abf1999a70efebf71b1cadcd89b4512d6fd23634bdb1c14c350836d0ad4934,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:7e3712fe7a54dff0446abe8b,28050,CR,Congressional Record JSON,crec_json,CREC-2014-01-07-pt1-PgH3-5.json,2014-01-07,,0543a154b962cb73f81aeccdc43771ef66fcb43f2786e9fa13952e453ce6008f,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:c8ec337fed1e1a264d9208c4,29453,CR,Congressional Record JSON,crec_json,CREC-2014-01-27-pt1-PgH1254-6.json,2014-01-27,,f22ab879abf5e0cce8b066def5d1a36b1d06a6ebf8ff30d5d8b6dacd8d716ea8,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:b6dfc37963b1473d36fe6bdf,30693,CR,Congressional Record JSON,crec_json,CREC-2014-02-11-pt1-PgH1744.json,2014-02-11,,9f52999cb9266e709b1ca6655a437eafdec00326a6f3b2440b2c3e5a66daceb3,,
v0.1.0,1.1.0,release-source:d4010a0f6ab4cdc95eb0ad3d,1,release-source-document:e2fe76fae0131a57d6f4005e,30767,CR,Congressional Record JSON,crec_json,CREC-2014-02-11-pt1-PgS871.json,2014-02-11,,0fa525940bd7e121a29faee414a0c00c568cf3995af7db89dcf2fc39aa23a43d,,
