release_version,schema_version,committee_code,chamber,committee_name,valid_start,valid_last_active_date,is_joint
v0.1.0,1.1.0,SSFI,S,Finance,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSFI,S,Senate Committee on Finance,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSFR,S,Foreign Relations,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSFR,S,Senate Committee on Foreign Relations,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSGA,S,Homeland Security and Governmental Affairs,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSGA,S,Senate Committee on Homeland Security and Governmental Affairs,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSHR,S,"Health, Education, Labor, and Pensions",2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSHR,S,"Senate Committee on Health, Education, Labor, and Pensions",2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSJU,S,Judiciary,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSJU,S,Senate Committee on the Judiciary,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSRA,S,Rules and Administration,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSRA,S,Senate Committee on Rules and Administration,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSSB,S,Small Business and Entrepreneurship,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSSB,S,Senate Committee on Small Business and Entrepreneurship,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,SSVA,S,Veterans' Affairs,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,SSVA,S,Senate Committee on Veterans' Affairs,2019-01-03,2027-01-02,false
